Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42201100,Three Women,Lisa Taddeo,"Taddeo, Lisa",,"=""1451642296""","=""9781451642292""",0,3.71,Avid Reader Press ,Hardcover,306,2019,2019,,2023/03/17,to-read,to-read (#460),to-read,,,,0,0
61111246,Victory City,Salman Rushdie,"Rushdie, Salman",,"=""0593243390""","=""9780593243398""",0,3.76,Random House,Hardcover,336,2023,2023,,2023/03/17,to-read,to-read (#459),to-read,,,,0,0
59808605,Strangers to Ourselves: Unsettled Minds and the Stories That Make Us,Rachel Aviv,"Aviv, Rachel",,"=""0374600848""","=""9780374600846""",0,4.10,"Farrar, Straus and Giroux",Hardcover,288,2022,2022,,2023/03/17,to-read,to-read (#458),to-read,,,,0,0
58386758,Checkout 19,Claire-Louise Bennett,"Bennett, Claire-Louise",,"=""0593420497""","=""9780593420492""",0,3.16,Riverhead Books,Hardcover,288,2022,2021,,2023/03/17,to-read,to-read (#457),to-read,,,,0,0
59900679,The Furrows,Namwali Serpell,"Serpell, Namwali",,"=""059344891X""","=""9780593448915""",0,3.21,Hogarth,Hardcover,288,2022,2022,,2023/03/17,to-read,to-read (#456),to-read,,,,0,0
60353768,The Marriage Portrait,Maggie O'Farrell,"O'Farrell, Maggie",,"=""""","=""""",3,4.01,Knopf Publishing Group,Hardcover,355,2022,2022,2023/03/11,2022/12/10,,,read,,,,1,0
61358638,"Poverty, by America",Matthew Desmond,"Desmond, Matthew",,"=""0593239911""","=""9780593239919""",0,4.27,Crown,Hardcover,284,2023,2023,,2023/03/05,to-read,to-read (#455),to-read,,,,0,0
62296528,Spare,Prince Harry,"Harry, Prince",J.R. Moehringer,"=""0593593804""","=""9780593593806""",4,3.84,Random House,Hardcover,410,2023,2023,2023/03/05,2022/12/11,,,read,,,,1,0
55547978,Brideshead Revisited,Evelyn Waugh,"Waugh, Evelyn",,"=""""","=""""",4,4.00,"Little, Brown and Company",Kindle Edition,418,2012,1945,2023/02/25,2022/01/04,,,read,,,,1,0
55574594,Punch Me Up To The Gods: A Memoir,Brian Broome,"Broome, Brian",Yona Harvey,"=""0358439116""","=""9780358439110""",5,4.33,Mariner Books,Kindle Edition,272,2021,2021,2023/02/06,2022/04/17,,,read,,,,1,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",3,3.98,Viking,Hardcover,288,2020,2020,2023/01/25,2022/01/02,,,read,,,,1,0
36680837,Meditations,Marcus Aurelius,"Aurelius, Marcus",Gregory Hays,"=""""","=""""",4,4.28,Modern Library,Kindle Edition,256,2002,180,2023/01/20,2023/01/20,,,read,,,,1,0
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1627792120""","=""9781627792127""",4,4.46,Henry Holt & Company,Hardcover,480,2015,2015,2023/01/20,2021/12/26,,,read,,,,1,0
54976986,Great Circle,Maggie Shipstead,"Shipstead, Maggie",,"=""""","=""""",0,4.10,Knopf,Hardcover,608,2021,2021,,2023/01/17,to-read,to-read (#454),to-read,,,,0,0
56587381,The Ruin of All Witches: Life and Death in the New World,Malcolm Gaskill,"Gaskill, Malcolm",,"=""0241413389""","=""9780241413388""",2,3.70,Allen Lane,Hardcover,336,2021,2021,2023/01/16,2023/01/05,,,read,Oof. This one was slow. Almost put me in a reading slump. I was excited to learn about witch trials but it was far too detailed when the details discussed did not end up mattering in the end. ,,,1,0
41118857,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,4.36,Harper Voyager,Hardcover,658,2019,2019,,2023/01/13,to-read,to-read (#453),to-read,,,,0,0
58537371,Nightcrawling,Leila Mottley,"Mottley, Leila",,"=""0593318935""","=""9780593318935""",0,3.96,Knopf,Hardcover,277,2022,2022,,2023/01/13,to-read,to-read (#452),to-read,,,,0,0
40275288,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,"Shannon, Samantha",,"=""1408883457""","=""9781408883457""",0,4.17,Bloomsbury Publishing,ebook,848,2019,2019,,2023/01/13,to-read,to-read (#451),to-read,,,,0,0
61065813,"Surrender: 40 Songs, One Story",Bono,"Bono, Bono",,"=""0525521046""","=""9780525521044""",0,4.19,Knopf,Hardcover,564,2022,2022,,2023/01/05,to-read,to-read (#450),to-read,,,,0,0
59900688,Solito,Javier Zamora,"Zamora, Javier",,"=""0593498062""","=""9780593498064""",0,4.48,Hogarth,Hardcover,384,2022,2022,,2023/01/05,to-read,to-read (#449),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",5,4.13,Knopf,Hardcover,401,2022,2022,2023/01/01,2022/12/10,,,read,,,,1,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""9780385534635""",2,4.00,Doubleday,Hardcover,506,2011,2011,2022/12/27,2022/12/11,,,read,"Whoa. This book was bad. Real bad. The only keeping me from a one-star review was the beautiful descriptions of the circus, the acts and the costumes. Super close to a DNF on this one. ",,,1,0
30672,Darkness at Noon,Arthur Koestler,"Koestler, Arthur",Daphne Hardy,"=""0553265954""","=""9780553265958""",0,4.12,Bantam Books,Mass Market Paperback,216,1984,1940,,2022/12/25,to-read,to-read (#448),to-read,,,,0,0
50520939,"The Atlas Six (The Atlas, #1)",Olivie Blake,"Blake, Olivie",,"=""""","=""""",0,3.56,,Kindle Edition,376,2020,2020,,2022/12/25,to-read,to-read (#447),to-read,,,,0,0
135479,Cat’s Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",0,4.15,Penguin,Paperback,306,1999,1963,,2022/12/25,to-read,to-read (#446),to-read,,,,0,0
318742,The Souls of Black Folk,W.E.B. Du Bois,"Bois, W.E.B. Du","Donald B. Gibson, Monica W. Elbert","=""""","=""""",0,4.31,Penguin Classics,Paperback,288,1996,1903,,2022/12/25,to-read,to-read (#445),to-read,,,,0,0
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""1984878107""","=""9781984878106""",5,4.13,Viking Books,Hardcover,307,2021,2021,2022/10/14,2021/12/26,,,read,,,,1,0
944267,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",Henry Cloud,"Cloud, Henry",John  Townsend,"=""""","=""""",5,4.21,Zondervan,Hardcover,314,1992,1992,,2022/02/15,,,read,,,,1,0
228560,Sophie’s Choice,William Styron,"Styron, William",,"=""0679736379""","=""9780679736370""",5,4.17,Vintage Books,Paperback,562,1992,1979,,2022/06/10,,,read,,,,1,0
10920,Cold Mountain,Charles Frazier,"Frazier, Charles",,"=""0802142842""","=""9780802142849""",3,3.89,Grove Press,Paperback,449,2006,1997,,2022/06/10,,,read,,,,1,0
41219,Possession,A.S. Byatt,"Byatt, A.S.",,"=""0679735909""","=""9780679735908""",2,3.90,Vintage,Paperback,555,1991,1990,,2022/06/10,,,read,,,,1,0
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0679735771""","=""9780679735779""",5,3.80,Vintage Contemporaries / Random House,Paperback,399,1991,1991,,2021/12/31,6-stars-if-i-could,6-stars-if-i-could (#9),read,,,,1,0
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",5,3.74,Anchor Books,Paperback,215,1994,1958,,2022/01/04,6-stars-if-i-could,6-stars-if-i-could (#8),read,,,,1,0
1162543,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,"Meyer, Stephenie",,"=""031606792X""","=""9780316067928""",2,3.75,"Little, Brown and Company",Hardcover,756,2008,2008,,2022/08/22,,,read,,,,1,0
9912,The Rules of Attraction,Bret Easton Ellis,"Ellis, Bret Easton",,"=""067978148X""","=""9780679781486""",4,3.72,Vintage Contemporaries,Paperback,283,1998,1987,,2022/08/22,,,read,,,,1,0
5148,A Separate Peace,John Knowles,"Knowles, John",David Levithan,"=""""","=""""",3,3.60,Scribner,Paperback,208,2003,1959,,2022/09/27,,,read,,,,1,0
49041,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316160199""","=""9780316160193""",2,3.61,"Little, Brown and Company",Hardcover,563,2006,2006,,2022/08/22,,,read,,,,1,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",5,4.00,Alfred A. Knopf,Hardcover,241,2006,2006,,2021/12/26,6-stars-if-i-could,6-stars-if-i-could (#6),read,,,,1,0
36336078,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,"Aciman, André",,"=""1786495252""","=""9781786495259""",4,4.10,Atlantic Books,Paperback,248,2017,2007,,2022/08/22,,,read,,,,1,0
52741293,Shuggie Bain,Douglas   Stuart,"Stuart, Douglas",,"=""0802148042""","=""9780802148049""",5,4.30,Grove Press,Hardcover,430,2020,2020,2022/06/09,2022/06/08,6-stars-if-i-could,6-stars-if-i-could (#5),read,,,,1,0
50196744,Know My Name,Chanel Miller,"Miller, Chanel",,"=""0735223718""","=""9780735223714""",5,4.69,Viking,ebook,384,2019,2019,2022/12/18,2021/12/26,6-stars-if-i-could,6-stars-if-i-could (#4),read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",5,4.03,Vintage International,Paperback,123,1989,1942,,2021/12/26,6-stars-if-i-could,6-stars-if-i-could (#3),read,,,,1,0
57004637,The Book of Form and Emptiness,Ruth Ozeki,"Ozeki, Ruth",,"=""0399563644""","=""9780399563645""",0,4.01,Viking,Hardcover,548,2021,2021,,2022/12/25,to-read,to-read (#444),to-read,,,,0,0
57224204,The Seven Moons of Maali Almeida,Shehan Karunatilaka,"Karunatilaka, Shehan",,"=""1908745908""","=""9781908745903""",0,3.91,Sort of Books,Hardcover,386,2022,2022,,2022/12/25,to-read,to-read (#443),to-read,,,,0,0
57145833,My Body,Emily Ratajkowski,"Ratajkowski, Emily",,"=""1250817862""","=""9781250817860""",0,3.99,Metropolitan Books,Hardcover,239,2021,2021,,2022/12/25,to-read,to-read (#442),to-read,,,,0,0
15196,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,"Spiegelman, Art",,"=""0394541553""","=""9780394541556""",0,4.39,Pantheon Books,Hardcover,159,1991,1986,,2022/12/21,to-read,to-read (#441),to-read,,,,0,0
55338982,Cultish: The Language of Fanaticism,Amanda Montell,"Montell, Amanda",,"=""0062993151""","=""9780062993151""",0,3.82,Harper,Hardcover,309,2021,2021,,2022/12/21,to-read,to-read (#440),to-read,,,,0,0
66354,Flow: The Psychology of Optimal Experience,Mihály Csíkszentmihályi,"Csíkszentmihályi, Mihály",,"=""""","=""""",0,4.11,Harper Perennial,Paperback,303,1990,1990,,2022/12/21,to-read,to-read (#439),to-read,,,,0,0
61295403,A Heart That Works,Rob Delaney,"Delaney, Rob",,"=""1954118317""","=""9781954118317""",0,4.62,Spiegel & Grau,Hardcover,196,2022,2022,,2022/12/21,to-read,to-read (#438),to-read,,,,0,0
59148726,"Rogues: True Stories of Grifters, Killers, Rebels and Crooks",Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385548516""","=""9780385548519""",0,4.02,Doubleday,Hardcover,368,2022,2022,,2022/12/21,to-read,to-read (#437),to-read,,,,0,0
22609391,The Wright Brothers,David McCullough,"McCullough, David",,"=""""","=""""",0,4.17,Simon & Schuster,Hardcover,320,2015,2015,,2022/12/21,to-read,to-read (#436),to-read,,,,0,0
44767249,She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement,Jodi Kantor,"Kantor, Jodi",Megan Twohey,"=""0525560343""","=""9780525560340""",0,4.34,Penguin Press,Hardcover,310,2019,2019,,2022/12/19,to-read,to-read (#435),to-read,,,,0,0
61423989,"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them",Timothy Egan,"Egan, Timothy",,"=""0735225265""","=""9780735225268""",0,4.36,Viking,Hardcover,432,2023,2023,,2022/12/17,to-read,to-read (#434),to-read,,,,0,0
62337617,Who Gets Believed?: When the Truth Isn't Enough,Dina Nayeri,"Nayeri, Dina",,"=""1646220722""","=""9781646220724""",0,3.49,Catapult,Hardcover,284,2023,2023,,2022/12/17,to-read,to-read (#433),to-read,,,,0,0
61111034,Our Share of Night,Mariana Enríquez,"Enríquez, Mariana","Megan McDowell, Pablo Gerardo Camacho","=""0451495144""","=""9780451495143""",0,4.26,Hogarth,Hardcover,588,2023,2019,,2022/12/17,to-read,to-read (#432),to-read,,,,0,0
59357120,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,3.73,The Borough Press,Hardcover,329,2023,2023,,2022/12/17,to-read,to-read (#431),to-read,,,,0,0
59808459,The Consequences: Stories,Manuel Muñoz,"Muñoz, Manuel",,"=""1644452065""","=""9781644452066""",0,4.08,Graywolf Press,Paperback,224,2022,2022,,2022/12/17,to-read,to-read (#430),to-read,,,,0,0
60410002,We All Want Impossible Things,Catherine Newman,"Newman, Catherine",,"=""0063230895""","=""9780063230897""",0,3.99,Harper,Hardcover,224,2022,2022,,2022/12/17,to-read,to-read (#429),to-read,,,,0,0
159346,Advise and Consent (Advise and Consent),Allen Drury,"Drury, Allen",,"=""0380010070""","=""9780380010073""",0,4.09,Avon Books,Paperback,616,1981,1959,,2022/12/17,to-read,to-read (#428),to-read,,,,0,0
58724723,My Government Means to Kill Me,Rasheed Newson,"Newson, Rasheed",,"=""1250833523""","=""9781250833525""",0,4.23,Flatiron Books,Hardcover,276,2022,2022,,2022/12/17,to-read,to-read (#427),to-read,,,,0,0
55650158,Take My Hand,Dolen Perkins-Valdez,"Perkins-Valdez, Dolen",,"=""0593337697""","=""9780593337691""",0,4.36,Berkley,Hardcover,359,2022,2022,,2022/12/17,to-read,to-read (#426),to-read,,,,0,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.37,Ecco,Hardcover,368,2022,2022,,2022/12/17,to-read,to-read (#425),to-read,,,,0,0
60149573,Our Missing Hearts,Celeste Ng,"Ng, Celeste",,"=""0593492544""","=""9780593492543""",0,3.79,Penguin Press,Hardcover,335,2022,2022,,2022/12/17,to-read,to-read (#424),to-read,,,,0,0
60279775,When We Were Sisters,Fatimah Asghar,"Asghar, Fatimah",,"=""0593133463""","=""9780593133460""",0,3.92,One World,Hardcover,352,2022,2022,,2022/12/17,to-read,to-read (#423),to-read,,,,0,0
60647674,And There Was Light: Abraham Lincoln and the American Struggle,Jon Meacham,"Meacham, Jon",,"=""0553393960""","=""9780553393965""",0,4.46,Random House,Hardcover,676,2022,2022,,2022/12/17,to-read,to-read (#422),to-read,,,,0,0
59109077,Horse,Geraldine Brooks,"Brooks, Geraldine",,"=""0399562966""","=""9780399562969""",0,4.25,Viking,Hardcover,401,2022,2022,,2022/12/11,to-read,to-read (#421),to-read,,,,0,0
34913533,Frankenstein,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",,"=""1542096154""","=""9781542096157""",4,3.89,AmazonClassics,Kindle Edition,253,2017,1818,2022/12/11,2022/02/23,,,read,,,,1,0
59012057,Bad Gays: A Homosexual History,Huw Lemmey,"Lemmey, Huw",Ben Miller,"=""1839763272""","=""9781839763274""",0,3.56,Verso,Hardcover,357,2022,2022,,2022/12/10,to-read,to-read (#420),to-read,,,,0,0
55276620,South to America: A Journey Below the Mason Dixon to Understand the Soul of a Nation,Imani Perry,"Perry, Imani",,"=""0062977407""","=""9780062977403""",0,3.97,Ecco,Hardcover,410,2022,2022,,2022/12/10,to-read,to-read (#419),to-read,,,,0,0
60321392,The Song of the Cell: An Exploration of Medicine and the New Human,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""1982117354""","=""9781982117351""",0,4.29,Scribner,Hardcover,473,2022,2022,,2022/12/10,to-read,to-read (#418),to-read,,,,0,0
58724923,Hidden Pictures,Jason Rekulak,"Rekulak, Jason",,"=""1250819342""","=""9781250819345""",0,4.15,Flatiron Books,Hardcover,372,2022,2022,,2022/12/10,to-read,to-read (#417),to-read,,,,0,0
59808037,How Not to Drown in a Glass of Water,Angie Cruz,"Cruz, Angie",,"=""1250208459""","=""9781250208453""",0,3.88,Flatiron Books,Hardcover,195,2022,2022,,2022/12/10,to-read,to-read (#416),to-read,,,,0,0
57693262,Cleopatra and Frankenstein,Coco Mellors,"Mellors, Coco",,"=""1635576814""","=""9781635576818""",0,3.70,Bloomsbury Publishing,Paperback,368,2022,2022,,2022/12/10,to-read,to-read (#415),to-read,,,,0,0
34928122,Artemis,Andy Weir,"Weir, Andy",,"=""0553448129""","=""9780553448122""",3,3.69,Crown,Hardcover,305,2017,2017,2022/12/02,2021/12/31,,,read,,,,1,0
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,"=""0553447432""","=""9780553447439""",5,4.47,Crown Publishers,Hardcover,418,2016,2016,2022/12/01,2022/11/18,,,read,,,,1,0
43721059,The Night Watchman,Louise Erdrich,"Erdrich, Louise",,"=""0062671200""","=""9780062671202""",4,4.09,HarperCollins,ebook,464,2020,2020,2022/11/26,2022/01/02,,,read,Erdich has become an automatic read for me. Love her style. Don’t feel the two stories came together as well as intended. Loved Thomas/The Night Watchman. ,,,1,0
59576076,The Rabbit Hutch,Tess Gunty,"Gunty, Tess",,"=""""","=""""",5,3.51,Knopf,Hardcover,399,2022,2022,2022/11/22,2022/11/08,,,read,I’m a sucker for great prose. ,,,1,0
40940121,Bridge to Terabithia,Katherine Paterson,"Paterson, Katherine",,"=""""","=""""",4,4.06,HarperCollins,Kindle Edition,190,2009,1977,2022/11/18,2022/08/22,,,read,,,,1,0
57569796,The 1619 Project: Born on the Water,Nikole Hannah-Jones,"Hannah-Jones, Nikole","Renée  Watson, Nikkolas Smith","=""0593307356""","=""9780593307359""",5,4.69,Kokila,Hardcover,48,2021,2021,,2022/11/13,,,read,,,,1,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",4,3.81,Crown,Hardcover,273,2019,2018,2022/11/13,2021/12/26,,,read,The ending was a bit rushed. I’m not sure how I feel about it exactly because the book is so close to the Hulu adaptation. I could visualize scenes in my head from the TV show while I was reading. ,,,1,0
53215250,The Dangers of Smoking in Bed,Mariana Enríquez,"Enríquez, Mariana",Megan McDowell,"=""0593134079""","=""9780593134078""",4,3.80,Hogarth,Hardcover,208,2021,2009,2022/11/04,2022/10/15,,,read,Perfect short story collection for Hispanic Heritage month and a little spooky to boot! ,,,1,0
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",5,4.06,Crown Currency,Hardcover,260,2014,2011,2022/10/29,2022/10/16,,,read,,,,1,0
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",5,4.20,Ballantine Books,Hardcover,384,2022,2022,2022/10/19,2022/08/31,,,read,Carrie Soto was the only tolerable part of Malibu Rising. I’m obsessed with this character. I loved it. ,,,1,0
27323,Hiroshima,John Hersey,"Hersey, John",,"=""0679721037""","=""9780679721031""",0,4.04,Vintage,Mass Market Paperback,152,1989,1946,,2022/10/15,to-read,to-read (#414),to-read,,,,0,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",0,4.44,Simon & Schuster,ebook,320,2022,2022,,2022/10/15,to-read,to-read (#413),to-read,,,,0,0
52180399,The Only Good Indians,Stephen Graham Jones,"Jones, Stephen Graham",,"=""1982136456""","=""9781982136451""",0,3.69,Gallery / Saga Press,Hardcover,305,2020,2020,,2022/10/15,to-read,to-read (#412),to-read,,,,0,0
58065033,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""""","=""""",3,4.28,Doubleday Books,Hardcover,390,2022,2022,2022/10/15,2022/04/17,,,read,,,,1,0
52102260,Earthlings,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""0802157009""","=""9780802157003""",0,3.60,Grove Press,Hardcover,247,2020,2018,,2022/10/03,to-read,to-read (#411),to-read,,,,0,0
36124936,The Outsider,Stephen        King,"King, Stephen",,"=""1501180983""","=""9781501180989""",0,4.01,Scribner,Hardcover,561,2018,2018,,2022/10/03,to-read,to-read (#410),to-read,,,,0,0
59822123,Crossroads,Jonathan Franzen,"Franzen, Jonathan",,"=""1250858704""","=""9781250858702""",0,4.06,Picador Paper,Paperback,592,2022,2021,,2022/10/03,to-read,to-read (#409),to-read,,,,0,0
17333230,The Luminaries,Eleanor Catton,"Catton, Eleanor",,"=""0316074314""","=""9780316074315""",0,3.75,"Little, Brown and Company",Hardcover,848,2013,2013,,2022/02/20,to-read,to-read (#408),to-read,,,,0,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.22,Bloomsbury,Hardcover,272,2020,2020,,2022/09/27,to-read,to-read (#407),to-read,,,,0,0
42815544,"Bunny (Bunny, #1)",Mona Awad,"Awad, Mona",,"=""0525559736""","=""9780525559733""",0,3.47,Viking,Hardcover,307,2019,2019,,2022/09/27,to-read,to-read (#406),to-read,,,,0,0
44303730,Me,Elton John,"John, Elton",,"=""1250147603""","=""9781250147608""",4,4.32,Henry Holt and Co.,Hardcover,374,2019,2019,2022/09/19,2022/09/20,,,read,,,,1,0
53986314,Frida Kahlo: The Last Interview: and Other Conversations (The Last Interview Series),Frida Kahlo,"Kahlo, Frida",Hayden Herrera,"=""1612198759""","=""9781612198750""",0,3.77,Melville House,Paperback,96,2020,,,2022/09/19,to-read,to-read (#405),to-read,,,,0,0
53231851,The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,Heather  McGhee,"McGhee, Heather",,"=""0525509569""","=""9780525509561""",0,4.62,One World,Hardcover,415,2021,2021,,2022/09/19,to-read,to-read (#404),to-read,,,,0,0
27276428,The Gene: An Intimate History,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",0,4.35,Scribner,Hardcover,592,2016,2016,,2022/09/19,to-read,to-read (#403),to-read,,,,0,0
57846324,Vladimir,Julia May Jonas,"Jonas, Julia May",,"=""1982187638""","=""9781982187637""",4,3.44,Avid Reader Press / Simon & Schuster,Hardcover,238,2022,2022,2022/09/14,2022/04/24,,,read,,,,1,0
51112101,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Ronan Farrow,"Farrow, Ronan",,"=""""","=""""",5,4.40,"Little, Brown and Company",Kindle Edition,465,2019,2019,2022/09/11,2022/09/07,,,read,,,,1,0
53330118,"Chatter: The Voice in Our Head, Why It Matters, and How to Harness It",Ethan Kross,"Kross, Ethan",,"=""0525575235""","=""9780525575238""",0,3.96,Crown Publishing Group,Hardcover,272,2021,2021,,2022/09/06,to-read,to-read (#402),to-read,,,,0,0
14061957,"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",3,3.97,Henry Holt and Company,Hardcover,432,2014,2014,2022/09/06,2022/09/05,,,read,,,,1,0
56921962,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,"=""""","=""""",4,4.06,St. Martin's Griffin,ebook,425,2019,2019,2022/09/03,2021/12/26,,,read,,,,1,0
10847,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,"Krakauer, Jon",,"=""0330419129""","=""9780330419123""",0,4.01,Pan MacMillan,Paperback,400,2004,2003,,2022/08/31,to-read,to-read (#401),to-read,,,,0,0
42078842,How to Read the Constitution - and Why,Kim Wehle,"Wehle, Kim",,"=""0062931369""","=""9780062931368""",0,3.94,HarperCollins,Hardcover,334,2019,,,2022/08/31,to-read,to-read (#400),to-read,,,,0,0
33917107,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,"Snyder, Timothy",,"=""0804190119""","=""9780804190114""",0,4.27,Tim Duggan Books,Paperback,127,2017,2017,,2022/08/31,to-read,to-read (#399),to-read,,,,0,0
26795307,Moonglow,Michael Chabon,"Chabon, Michael",,"=""0062225553""","=""9780062225559""",0,3.80,Harper,Hardcover,430,2016,2016,,2022/08/31,to-read,to-read (#398),to-read,,,,0,0
16707,Wonder Boys,Michael Chabon,"Chabon, Michael",,"=""3423124172""","=""9783423124171""",0,3.93,Dt. Taschenbuch-Verl.,Kindle Edition,383,1998,1995,,2022/08/31,to-read,to-read (#397),to-read,,,,0,0
50092714,Fight of the Century: Writers Reflect on 100 Years of Landmark ACLU Cases,Michael Chabon,"Chabon, Michael","Ayelet Waldman, Ann Patchett, Brit Bennett, Steven Okazaki, David Handler, Geraldine Brooks, Yaa Gyasi, Sergio de la Pava, Dave Eggers, Timothy Egan, Li Yiyun, Meg Wolitzer, Héctor Tobar, Aleksandar Hemon, Elizabeth Strout, Rabih Alameddine, Moriel Rothman-Zecher, Jonathan Lethem, Salman Rushdie, Lauren Groff, Jennifer Egan, Scott Turow, Morgan  Parker, Victor LaValle, Michael Cunningham, Neil Gaiman, Jesmyn Ward, George Saunders, Marlon James, William Finnegan, Anthony Doerr, C.J. Anders, Brenda J. Child, Andrew Sean Greer, Louise Erdrich, Adrian Nicole LeBlanc, David  Cole, Viet Thanh Nguyen, Jacqueline Woodson","=""1501190407""","=""9781501190407""",5,4.22,Avid Reader Press / Simon  Schuster,Hardcover,336,2020,2020,2022/08/31,2022/08/22,,,read,,,,1,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,4.16,Harper Voyager,Hardcover,544,2022,2022,,2022/08/29,to-read,to-read (#396),to-read,,,,0,0
18521,A Room of One’s Own,Virginia Woolf,"Woolf, Virginia",,"=""""","=""""",0,4.22,Penguin Books,Paperback,112,2000,1929,,2022/07/24,to-read,to-read (#395),to-read,,,,0,0
235773,Waiting,Ha Jin,"Jin, Ha",,"=""0375706410""","=""9780375706417""",4,3.54,Vintage,Paperback,310,2000,1999,2022/08/22,2022/08/10,,,read,,,,1,0
18302455,"The Circle (The Circle, #1)",Dave Eggers,"Eggers, Dave",,"=""""","=""""",0,3.43,Knopf,Hardcover,493,2013,2013,,2022/08/22,to-read,to-read (#394),to-read,,,,0,0
6295,Howl and Other Poems,Allen Ginsberg,"Ginsberg, Allen",William Carlos Williams,"=""0872863107""","=""9780872863101""",0,4.13,City Lights,Hardcover,56,2001,1956,,2022/08/22,to-read,to-read (#393),to-read,,,,0,0
682745,The Basketball Diaries,Jim Carroll,"Carroll, Jim",,"=""""","=""""",0,3.99,Penguin Books/Penguin Group (USA) Inc.,Paperback,224,1995,1978,,2022/08/22,to-read,to-read (#392),to-read,,,,0,0
43448,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,"Andrews, V.C.",,"=""0743496310""","=""9780743496315""",0,3.85,Pocket Books,Paperback,389,1979,1979,,2022/08/22,,,read,,,,1,0
7442,The Electric Kool-Aid Acid Test,Tom Wolfe,"Wolfe, Tom",,"=""0553380648""","=""9780553380644""",0,3.92,Bantam,Paperback,416,1999,1968,,2022/08/22,to-read,to-read (#391),to-read,,,,0,0
18545,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,"Stoppard, Tom",,"=""0802132758""","=""9780802132758""",0,4.04,Grove Press,Paperback,126,1994,1967,,2022/08/22,,,read,,,,1,0
