Title,Author,ISBN-13
Trust,Hernan Diaz,9780593420317
The Exchange: After The Firm,John Grisham,9780385548955
Hello Beautiful,Ann Napolitano,9780593593783
Weyward,Emilia Hart,9781250285652
The Housemaid's Secret,Freida McFadden,9781728283197
No Brainer (Diary of a Wimpy Kid #18),Jeff Kinney,9781419766947
King of Pride,Ana Huang,9781728274560
A Court of Thorns and Roses,Sarah J. Maas,9781635575569
The River We Remember,William Kent Krueger,9781982179212
North Woods,Daniel Mason,9780593597033
Being Henry: The Fonz... and Beyond,Henry Winkler,9781250287885
"Poverty, by America",Matthew Desmond,9780593239919
Check & Mate,Ali Hazelwood,9780593337530
In the Lives of Puppets,T.J. Klune,9781250217516
Hell Bent,Leigh Bardugo,9781250621817
The Bee Sting,Paul Murray,9780374609979
Western Lane,Chetna Maroo,9780374610319
This Other Eden,Paul Harding,9780393608882
If I Survive You,Jonathan Escoffery,9780374605987
Study for Obedience,Sarah Bernstein,9780593536193
Time Shelter,Georgi Gospodinov,9781631498930
Blackouts,Justin Torres,9780374293550
Bliss Montage,Ling Ma,9780374604745
The Book of Goose,Yiyun Li,9780374606343
Night of the Living Rez,Morgan Talty,9781953534186
Dr. No,Percival Everett,9781644452039
Biography of X,Catherine Lacey,9780374605505
Like a Sister,Kellye Garrett,9780316256965
Chain Gang All Stars,Nana Kwame Adjei-Brenyah,9780593317334
The Fraud,Zadie Smith,9780593317358
The Best Minds,Jonathan Rosen,9780525560111
Some People Need Killing,Patricia Evangelista,9780593138236
The 272,Rachel L. Swarns,9780399590405
After Sappho,Selby Wynn Schwartz,9781631498886
All the Sinners Bleed,S. A. Cosby,9781250846785
Birnam Wood,Eleanor Catton,9780374608026
Bright Young Women,Jessica Knoll,9781501153228
Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,9780593500118
Enter Ghost,Isabella Hammad,9780802160683
A History of Burning,Janika Oza,9781538726860
How to Say Babylon,Safiya Sinclair,9781982132330
Ink Blood Sister Scribe,Emma Törzs,9780063254664
Land of Milk and Honey,C Pam Zhang,9780593422038
A Living Remedy,Nicole Chung,9780063031500
Lone Women,Victor LaValle,9780525512080
My Name Is Barbra,Barbra Streisand,9780525429524
Pageboy,Elliot Page,9781250878359
Pineapple Street,Jenny Jackson,9780593490693
The Reformatory,Tananarive Due,9781982188344
Victory City,Salman Rushdie,9780593243398
The Woman in Me,Britney Spears,9781668042953
Verity,Colleen Hoover,9781791392796
Ugly Love,Colleen Hoover,9781476753188
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,9781501139239
Reminders of Him,Colleen Hoover,978154202
November 9,Colleen Hoover,9781501110344
The Light We Carry,Michelle Obama,9780593237465
The Seven Moons of Maali Almeida,Shehan Karunatilaka,9780393242272
Horse,Geraldine Brooks,9780399562969
"Run, Rose, Run",Dolly Parton & James Patterson,9780759554344
The Judge's List,John Grisham,9780385546029
The Song of Achilles,Madeline Miller,9780062060617
Circe,Madeline Miller,9780316556347
All About Love: New Visions,bell hooks,9780060959470
The 1619 Project: A New Origin Story,Nikole Hannah-Jones,9780593230572
An Immense World,Ed Yong,9780593133231
The Sentence,Louise Erdrich,9780062671127
When Women Were Dragons,Kelly Barnhill,9780385548221
The Personal Librarian,Marie Benedict & Victoria Christopher Murray,9780593101834
The Dictionary of Lost Words,Pip Williams,9780593160213
Glory,NoViolet Bulawayo,9780593296431
Small Things Like These,Claire Keegan,9780802158710
Treacle Walker,Alan Garner,9780008476325
The Trees,Percival Everett,9781644450639
Oh William!,Elizabeth Strout,9780812996540
The Colony,Audrey Magee,9780802159823
Nightcrawling,Leila Mottley,9780593318935
Booth,Karen Joy Fowler,9780593321485
The Book of Form and Emptiness,Ruth Ozeki,9780399563645
The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers,9780062942944
How Not to Drown in a Glass of Water,Angie Cruz,9781250208453
Finding Me,Viola Davis,9780063037328
You Made a Fool of Death With Your Beauty,Akwaeke Emezi,9781982188702
Lesser Known Monsters of the 21st Century,Kim Fu,9781953534094
Didn't Nobody Give a Shit What Happened to Carlotta,James Hannaham,9780316264021
Shy: The Alarmingly Outspoken Memoirs of Mary Rodgers,Mary Rodgers & Jesse Green,9780374601119
Signal Fires,Dani Shapiro,9780593321300
This Time Tomorrow,Emma Straub,9780593246498
Checkout 19,Claire-Louise Bennett,9780593316801
The Hacienda,Isabel Cañas,9780593436691
Devil House,John Darnielle,9780374280918
Getting Lost,Annie Ernaux,9781644212298
Olga Dies Dreaming,Xochitl Gonzalez,9781250786173
Lessons,Ian McEwan,9780593449219
Dinosaurs,Lydia Millet,9780393868012
How High We Go In the Dark,Sequoia Nagamatsu,9780063072626
South to America,Imani Perry,9780062977489
Young Mungo,Douglas Stuart,9780802159557
Siren Queen,Nghi Vo,9781250788832
The School for Good Mothers,Jessamine Chan,9781982156121
Afterlives,Abdulrazak Gurnah,9780593420393
The Hero of This Book,Elizabeth McCracken,9780062971272
Liberation Day,George Saunders,9780593449226
Strangers to Ourselves,Rachel Aviv,9780374600556
Ducks: Two Years in the Oil Sands,Kate Beaton,9781770462892
Vladimir,Julia May Jonas,9781982183066
The Four Winds,Kristin Hannah,9781250178602
Project Hail Mary,Andy Weir,9780593135204
A Court of Silver Flames,Sarah J. Maas,9781635576580
Cloud Cuckoo Land,Anthony Doerr,9781982168438
The Hill We Climb,Amanda Gorman,9780593465271
Billy Summers,Stephen King,9781982173616
Malibu Rising,Taylor Jenkins Reid,9781524798659
The Love Hypothesis,Ali Hazelwood,9780593336823
"Beautiful World, Where Are You",Sally Rooney,9780374602604
Hell of a Book,Jason Mott,9780593330968
The Wish,Nicholas Sparks,9781538728628
Sooley,John Grisham,9780385547680
The President's Daughter,Bill Clinton & James Patterson,9780316277168
Harlem Shuffle,Colson Whitehead,9780385545138
The Madness of Crowds,Louise Penny,9781250145260
Caste: The Origins of Our Discontents,Isabel Wilkerson,9780593230251
A Promised Land,Barack Obama,9781524763169
World Travel: An Irreverent Guide,Anthony Bourdain & Laurie Woolever,9780062802798
Peril,Bob Woodward & Robert Costa,9781982182915
Finding the Mother Tree,Suzanne Simard,9780525656098
The Premonition: A Pandemic Story,Michael Lewis,9780393881554
A Swim in a Pond in the Rain,George Saunders,9781984856029
The Storyteller: Tales of Life and Music,Dave Grohl,9780063076099
The Overstory,Richard Powers,9780393356687
Dune,Frank Herbert,9780441013593
The Night Watchman,Louise Erdrich,9780062671189
One Last Stop,Casey McQuiston,9781250244475
Braiding Sweetgrass,Robin Wall Kimmerer,9781571313560
The Body Keeps the Score,Bessel van der Kolk,
Entangled Life,Merlin Sheldrake,9780525510329
The Four Agreements,Don Miguel Ruiz,9781878424310
Hood Feminism,Mikki Kendall,9780525560548
Nomadland,Jessica Bruder,9780393356311
Minor Feelings: An Asian American Reckoning,Cathy Park Hong,9781984820365
The Warmth of Other Suns,Isabel Wilkerson,9780679763888
On Tyranny,Timothy Snyder,9780804190114
The Color of Law,Richard Rothstein,9781631492853
They Both Die at the End,Adam Silvera,9780062457790
We Were Liars,E. Lockhart,9780385741262
One of Us Is Lying,Karen M. McManus,9781524714680
"Stamped: Racism, Antiracism, and You",Jason Reynolds & Ibram X. Kendi,9780316453691
The Book Thief,Markus Zusak,9780375842207
Legendborn,Tracy Deonn,9781534441606
Cemetery Boys,Aiden Thomas,9781250250469
Iron Widow,Xiran Jay Zhao,9780735269934
These Violent Delights,Chloe Gong,9781534457690
Change Sings: A Children's Anthem,Amanda Gorman & Loren Long,9780593203224
We Are Water Protectors,Carole Lindstrom & Michaela Goade,9781250203557
Antiracist Baby,Ibram X. Kendi & Ashley Lukashevsky,9780593110508
Eyes That Kiss in the Corners,Joanna Ho & Dung Ho,9780062915627
Matrix,Lauren Groff,9780593331712
Zorrie,Laird Hunt,9781635575361
The Prophets,Robert Jones,
Winter in Sokcho,Elisa Shua Dusapin,9781948830211
When You Trap a Tiger,Tae Keller,9781524715786
Everything Sad Is Untrue (A True Story),Daniel Nayeri,9781646140008
Midnight Sun,Stephenie Meyer,9780316707046
A Time for Mercy,John Grisham,9780385545961
The Return,Nicholas Sparks,9780593241004
The Invisible Life of Addie LaRue,V.E. Schwab,9780765387561
Interior Chinatown,Charles Yu,9780307907187
The Evening and the Morning,Ken Follett,9780525954989
Camino Winds,John Grisham,9780385545930
Too Much and Never Enough,Mary L. Trump,9781982141462
Greenlights,Matthew McConaughey,9780593139134
Ready Player Two,Ernest Cline,9781524761332
Dog Man: Grime and Punishment,Dav Pilkey,9781338535624
The Deep End (Diary of a Wimpy Kid #15),Jeff Kinney,9781419748684
White Fragility,Robin DiAngelo,9780807047415
The Room Where It Happened,John Bolton,9781982148034
Becoming,Michelle Obama,9781524763138
Live Free or Die,Sean Hannity,9781501186257
Rage,Bob Woodward,9781982131760
The Silent Patient,Alex Michaelides,9781250301697
The Guardians,John Grisham,9780385544186
The Testaments,Margaret Atwood,9780385543783
Such a Fun Age,Kiley Reid,9780525541929
A Children’s Bible,Lydia Millet,9780393608936
The Secret Lives of Church Ladies,Deesha Philyaw,9781949199734
A Burning,Megha Majumdar,9780525658689
The Great Offshore Grounds,Vanessa Veselka,9780525658023
Dirt: Adventures in Lyon as a Chef in Training...,Bill Buford,9780307271013
The Best of Me,David Sedaris,9780316628242
Network Effect,Martha Wells,9781250229861
On Ajayi Crowther Street,Elnathan John & Àlàbá Ònájìn,9781911115908
The Sparrow,Mary Doria Russell,9780679451501
A Wilderness of Error,Errol Morris,9781594203435
